c,g1,g2,v
1,157376,158029,MFLAFM_00880
1,158265,159284,MFLAFM_00885
1,159314,159640,MFLAFM_00890
1,159858,161090,MFLAFM_00895
1,161083,161982,MFLAFM_00900
1,162213,162833,MFLAFM_00905
1,163232,163840,MFLAFM_00910
1,164173,165381,MFLAFM_00915
1,165429,166478,MFLAFM_00920
1,166509,167456,MFLAFM_00925
1,167553,168044,MFLAFM_00930
1,168041,168460,MFLAFM_00935
1,168568,169488,MFLAFM_00940
1,169696,170334,MFLAFM_00945
1,170580,172511,MFLAFM_00950
1,172524,173171,MFLAFM_00955
1,173292,173846,MFLAFM_00960
1,174073,175281,MFLAFM_00965
1,175550,176932,MFLAFM_00970
1,177172,177627,MFLAFM_00975
1,177822,178790,MFLAFM_00980
1,179021,179686,MFLAFM_00985
1,179686,180741,MFLAFM_00990
1,180877,181551,MFLAFM_00995
1,181544,182917,MFLAFM_01000
1,183080,183523,MFLAFM_01005
1,183520,183975,MFLAFM_01010
1,184041,185519,MFLAFM_01015
1,185900,187498,MFLAFM_01020
1,187815,189488,MFLAFM_01025
1,189642,190256,MFLAFM_01030
1,190570,191085,MFLAFM_01035
1,191276,192280,MFLAFM_01040
1,192326,192661,MFLAFM_01045
1,192763,193797,MFLAFM_01050
1,194029,194460,MFLAFM_01055
1,194667,195944,MFLAFM_01060
1,196105,196728,MFLAFM_01065
1,196774,197718,MFLAFM_01070
1,197803,199245,MFLAFM_01075
1,199428,199811,MFLAFM_01080
1,201299,203404,MFLAFM_01085
1,203475,203897,MFLAFM_01090
1,204161,204517,MFLAFM_01095
1,204835,206112,MFLAFM_01100
1,206294,206659,MFLAFM_01105
1,207056,207502,MFLAFM_01110
1,207724,208146,MFLAFM_01115
1,208253,209422,MFLAFM_01120
1,209791,210705,MFLAFM_01125
1,210684,211424,MFLAFM_01130
1,211682,212335,MFLAFM_01135
1,212358,213392,MFLAFM_01140
1,213416,213868,MFLAFM_01145
1,213888,214565,MFLAFM_01150
1,214558,215133,MFLAFM_01155
1,215126,216685,MFLAFM_01160
1,216675,220364,MFLAFM_01165
1,220673,221650,MFLAFM_01170
1,221641,221955,MFLAFM_01175
1,221959,224364,MFLAFM_01180
1,224430,225161,MFLAFM_01185
1,225391,225927,MFLAFM_01190
1,226161,226985,MFLAFM_01195
1,227202,227384,MFLAFM_01200
1,227468,227935,MFLAFM_01205
1,228121,229668,MFLAFM_01210
1,229963,230229,MFLAFM_01215
1,230229,230480,MFLAFM_01220
1,230753,231352,MFLAFM_01225
1,231371,231733,MFLAFM_01230
1,231988,233238,MFLAFM_01235
1,233335,234066,MFLAFM_01240
1,234063,234791,MFLAFM_01245
1,234763,235542,MFLAFM_01250
1,235663,237102,MFLAFM_01255
1,237276,237380,MFLAFM_01260
1,237534,238220,MFLAFM_01265
1,238547,239413,MFLAFM_01270
1,240042,241352,MFLAFM_01275
1,241852,242817,MFLAFM_01280
1,243384,244331,MFLAFM_01285
1,244333,245310,MFLAFM_01290
1,245362,245829,MFLAFM_01295
1,245840,246532,MFLAFM_01300
1,246543,247658,MFLAFM_01305
1,247636,248643,MFLAFM_01310
1,248645,250003,MFLAFM_01315
1,249981,250667,MFLAFM_01320
1,250768,251054,MFLAFM_01325
1,251120,252853,MFLAFM_01330
1,252878,254641,MFLAFM_01335
1,255312,255408,MFLAFM_01340
1,255585,255971,MFLAFM_01345
1,256239,257381,MFLAFM_01350
1,257441,258100,MFLAFM_01355
1,258282,259493,MFLAFM_01360
1,259616,260089,MFLAFM_01365
1,260202,260858,MFLAFM_01370
1,260921,261727,MFLAFM_01375
1,262013,263422,MFLAFM_01380
1,263560,265638,MFLAFM_01385
1,265779,267608,MFLAFM_01390
1,267840,269336,MFLAFM_01395
1,269428,270279,MFLAFM_01400
1,270601,271536,MFLAFM_01405
1,271762,273162,MFLAFM_01410
1,273456,274151,MFLAFM_01415
1,274151,275092,MFLAFM_01420
1,275109,275744,MFLAFM_01425
1,275741,276967,MFLAFM_01430
1,277637,278236,MFLAFM_01435
1,278416,280053,MFLAFM_01440
1,280362,281714,MFLAFM_01445
1,281776,282963,MFLAFM_01450
1,283359,284135,MFLAFM_01455
1,284128,284790,MFLAFM_01460
1,285038,286114,MFLAFM_01465
1,286469,286735,MFLAFM_01470
1,286735,286992,MFLAFM_01475
1,287350,287805,MFLAFM_01480
1,287973,289550,MFLAFM_01485
1,289745,290494,MFLAFM_01490
1,290856,292049,MFLAFM_01495
1,292061,292810,MFLAFM_01500
1,292803,293618,MFLAFM_01505
1,293615,294484,MFLAFM_01510
1,294481,295416,MFLAFM_01515
1,295429,297027,MFLAFM_01520
1,297170,298471,MFLAFM_01525
1,298464,299282,MFLAFM_01530
1,299293,300114,MFLAFM_01535
1,300804,301571,MFLAFM_01540
1,301671,302489,MFLAFM_01545
1,302724,304262,MFLAFM_01550
1,304375,304797,MFLAFM_01555
1,305249,305668,MFLAFM_01560
1,305695,306105,MFLAFM_01565
1,306372,306794,MFLAFM_01570
1,307044,307739,MFLAFM_01575
1,308028,308309,MFLAFM_01580
1,308569,308760,MFLAFM_01585
1,308971,309045,MFLAFM_01590
1,309242,309334,MFLAFM_01595
1,309321,310115,MFLAFM_01600
1,310651,310938,MFLAFM_01605
1,310941,311267,MFLAFM_01610
1,311267,312592,MFLAFM_01615
1,312579,313370,MFLAFM_01620
1,313485,314261,MFLAFM_01625
1,314565,317426,MFLAFM_01630
1,317428,317820,MFLAFM_01635
1,318123,319760,MFLAFM_01640
1,320044,320310,MFLAFM_01645
1,320454,320762,MFLAFM_01650
1,320870,321040,MFLAFM_01655
1,321200,322276,MFLAFM_01660
1,322660,325008,MFLAFM_01665
1,325056,325622,MFLAFM_01670
1,325927,326283,MFLAFM_01675
1,326607,327350,MFLAFM_01680
1,327561,328427,MFLAFM_01685
1,328608,331493,MFLAFM_01690
1,332175,335291,MFLAFM_01695
1,335426,335626,MFLAFM_01700
1,335760,337118,MFLAFM_01705
1,337235,338788,MFLAFM_01710
1,338812,339489,MFLAFM_01715
1,339645,340409,MFLAFM_01720
1,340574,341266,MFLAFM_01725
1,341497,341913,MFLAFM_01730
1,342052,343875,MFLAFM_01735
1,344352,345629,MFLAFM_01740
1,346176,346787,MFLAFM_01745
1,347305,348000,MFLAFM_01750
1,348002,348772,MFLAFM_01755
1,349145,351109,MFLAFM_01760
1,351140,351230,MFLAFM_01765
1,351255,351332,MFLAFM_01770
1,351451,352530,MFLAFM_01775
1,352635,353228,MFLAFM_01780
1,353259,354218,MFLAFM_01785
1,354296,354730,MFLAFM_01790
1,354956,355240,MFLAFM_01795
1,355411,356217,MFLAFM_01800
1,356338,357009,MFLAFM_01805
1,357279,358271,MFLAFM_01810
1,358518,359318,MFLAFM_01815
1,359638,360273,MFLAFM_01820
1,360288,361010,MFLAFM_01825
1,361172,361792,MFLAFM_01830
1,361986,362477,MFLAFM_01835
1,362621,362791,MFLAFM_01840
1,362970,363869,MFLAFM_01845
1,363883,364563,MFLAFM_01850
1,364566,365609,MFLAFM_01855
1,366159,366362,MFLAFM_01860
1,366518,367480,MFLAFM_01865
1,367561,368529,MFLAFM_01870
1,368650,369006,MFLAFM_01875
1,369048,369458,MFLAFM_01880
1,369838,371904,MFLAFM_01885
1,372205,373944,MFLAFM_01890
1,373995,374684,MFLAFM_01895
1,374677,375072,MFLAFM_01900
1,375285,376148,MFLAFM_01905
1,376330,376548,MFLAFM_01910
1,376558,376610,MFLAFM_01915
1,376938,377369,MFLAFM_01920
1,377508,378785,MFLAFM_01925
1,379040,380206,MFLAFM_01930
1,380371,380892,MFLAFM_01935
1,381301,383406,MFLAFM_01940
1,383475,383645,MFLAFM_01945
1,383658,385652,MFLAFM_01950
1,385664,385891,MFLAFM_01955
1,386107,388596,MFLAFM_01960
1,388741,389289,MFLAFM_01965
1,389645,391189,MFLAFM_01970
1,391379,391978,MFLAFM_01975
1,392217,392408,MFLAFM_01980
1,392648,395056,MFLAFM_01985
1,395594,395800,MFLAFM_01990
1,395891,396889,MFLAFM_01995
1,396912,398066,MFLAFM_02000
1,398494,400002,MFLAFM_02005
1,400014,400877,MFLAFM_02010
1,400914,402041,MFLAFM_02015
1,402047,403540,MFLAFM_02020
1,403533,404030,MFLAFM_02025
1,404196,404963,MFLAFM_02030
1,405324,407135,MFLAFM_02035
1,407647,408135,MFLAFM_02040
1,408411,409112,MFLAFM_02045
1,409720,410775,MFLAFM_02050
1,411167,411754,MFLAFM_02055
1,412132,412452,MFLAFM_02060
1,412672,412902,MFLAFM_02065
1,413204,413581,MFLAFM_02070
1,413598,414419,MFLAFM_02075
1,414439,414738,MFLAFM_02080
1,414869,415426,MFLAFM_02085
1,415419,416123,MFLAFM_02090
1,416221,417231,MFLAFM_02095
1,417251,418081,MFLAFM_02100
1,418228,419118,MFLAFM_02105
1,419215,420561,MFLAFM_02110
1,420549,421655,MFLAFM_02115
1,421988,422284,MFLAFM_02120
1,422272,422610,MFLAFM_02125
1,422655,422930,MFLAFM_02130
1,423274,424140,MFLAFM_02135
1,424358,425422,MFLAFM_02140
1,425577,425852,MFLAFM_02145
1,425889,426002,MFLAFM_02150
1,426038,426760,MFLAFM_02155
1,427114,427563,MFLAFM_02160
1,427644,428231,MFLAFM_02165
1,428374,430056,MFLAFM_02170
1,430154,430789,MFLAFM_02175
1,430805,431881,MFLAFM_02180
1,432224,432607,MFLAFM_02185
1,432609,433460,MFLAFM_02190
1,433453,434271,MFLAFM_02195
1,434344,435204,MFLAFM_02200
1,435290,435994,MFLAFM_02205
1,436272,437231,MFLAFM_02210
1,437917,439365,MFLAFM_02215
1,439446,440783,MFLAFM_02220
1,441041,441457,MFLAFM_02225
1,441580,442470,MFLAFM_02230
1,442664,444160,MFLAFM_02235
1,444845,446443,MFLAFM_02240
1,446637,447080,MFLAFM_02245
1,447360,447572,MFLAFM_02250
1,447850,449559,MFLAFM_02255
1,449820,451310,MFLAFM_02260
1,451563,452126,MFLAFM_02265
1,452297,453919,MFLAFM_02270
1,454438,454974,MFLAFM_02275
1,454971,456821,MFLAFM_02280
1,457011,458381,MFLAFM_02285
1,458874,459479,MFLAFM_02290
1,459542,461422,MFLAFM_02295
1,461816,462313,MFLAFM_02300
1,462323,462574,MFLAFM_02305
1,463737,465737,MFLAFM_02310
1,465734,466489,MFLAFM_02315
1,466597,467484,MFLAFM_02320
1,467495,468160,MFLAFM_02325
1,468186,468386,MFLAFM_02330
1,468584,470008,MFLAFM_02335
1,469367,469470,MFLAFM_02340
1,470068,470172,MFLAFM_02345
1,470291,470746,MFLAFM_02350
1,470991,471752,MFLAFM_02355
1,471868,474501,MFLAFM_02360
1,474851,475555,MFLAFM_02365
1,475654,476595,MFLAFM_02370
1,476612,478042,MFLAFM_02375
1,478133,479143,MFLAFM_02380
1,479176,480411,MFLAFM_02385
1,480758,481207,MFLAFM_02390
1,481574,483103,MFLAFM_02395
1,483527,484054,MFLAFM_02400
1,484312,484770,MFLAFM_02405
1,485010,486884,MFLAFM_02410
1,486960,488912,MFLAFM_02415
1,488926,489864,MFLAFM_02420
1,489976,492957,MFLAFM_02425
1,493168,495027,MFLAFM_02430
1,495292,495852,MFLAFM_02435
1,496021,497928,MFLAFM_02440
1,498169,499527,MFLAFM_02445
1,499520,501028,MFLAFM_02450
1,501046,503436,MFLAFM_02455
1,503426,504385,MFLAFM_02460
1,504363,505934,MFLAFM_02465
1,505921,507474,MFLAFM_02470
1,507485,508696,MFLAFM_02475
1,508826,515641,MFLAFM_02480
1,516185,516877,MFLAFM_02485
1,517143,517571,MFLAFM_02490
1,517558,517860,MFLAFM_02495
1,518014,518373,MFLAFM_02500
1,518458,519069,MFLAFM_02505
1,519148,519624,MFLAFM_02510
1,519627,520127,MFLAFM_02515
1,520362,521129,MFLAFM_02520
1,521126,521818,MFLAFM_02525
1,521835,522497,MFLAFM_02530
1,522956,523345,MFLAFMFMJG_147
1,523346,523906,MFLAFM_02535
1,523904,523978,MFLAFMFMJG_149
1,524070,525308,MFLAFM_02540
1,525272,525577,MFLAFM_02545
1,525574,526446,MFLAFM_02550
1,526433,527485,MFLAFM_02555
1,527598,527842,MFLAFM_02560
1,527727,527792,MFLAFM_02565
1,527820,529865,MFLAFM_02570
1,530955,531587,MFLAFM_02575
1,531584,532342,MFLAFM_02580
1,532339,533043,MFLAFM_02585
1,533036,533614,MFLAFM_02590
1,533611,534189,MFLAFM_02595
1,534158,535171,MFLAFM_02600
1,535187,536437,MFLAFM_02605
1,536430,537044,MFLAFM_02610
1,537062,537880,MFLAFM_02615
1,538184,539308,MFLAFM_02620
1,539426,539923,MFLAFM_02625
1,539970,540803,MFLAFM_02630
1,540800,542512,MFLAFM_02635
1,542565,543119,MFLAFM_02640
1,543148,543996,MFLAFM_02645
1,544375,544890,MFLAFM_02650
1,545043,546017,MFLAFM_02655
1,546258,547214,MFLAFM_02660
1,547366,548004,MFLAFM_02665
1,548123,548890,MFLAFM_02670
1,548880,549218,MFLAFM_02675
1,549385,549849,MFLAFM_02680
1,550087,551505,MFLAFM_02685
1,551919,552827,MFLAFM_02690
1,553049,553624,MFLAFM_02695
1,553786,554802,MFLAFM_02700
1,555045,555839,MFLAFM_02705
1,555973,556485,MFLAFM_02710
1,556768,557526,MFLAFM_02715
1,557516,559396,MFLAFM_02720
1,559488,559679,MFLAFM_02725
1,560071,560271,MFLAFM_02730
1,560389,560958,MFLAFM_02735
1,561218,561613,MFLAFM_02740
1,561681,562034,MFLAFM_02745
1,562485,563324,MFLAFM_02750
1,563367,564086,MFLAFM_02755
1,564086,565963,MFLAFM_02760
1,566030,567409,MFLAFM_02765
1,567566,567913,MFLAFM_02770
1,568040,568177,MFLAFM_02775
1,568178,568907,MFLAFMFMJG_2664
1,568908,570269,MFLAFM_02780
1,570281,570546,MFLAFMFMJG_2665
1,570547,571680,MFLAFM_02785
1,572070,572306,MFLAFM_02790
1,572303,573415,MFLAFM_02795
1,573425,575359,MFLAFM_02800
1,575396,578065,MFLAFM_02805
1,578153,578965,MFLAFM_02810
1,579291,580805,MFLAFM_02815
1,580878,581094,MFLAFMFMJG_153
1,581184,582470,MFLAFM_02820
1,583121,583816,MFLAFM_02825
1,583813,584142,MFLAFM_02830
1,584347,584445,MFLAFMFMJG_152
1,584505,585473,MFLAFM_02835
1,585781,586704,MFLAFM_02840
1,586719,588686,MFLAFM_02845
1,588683,589129,MFLAFM_02850
1,589161,590561,MFLAFM_02855
1,590839,592122,MFLAFM_02860
1,592551,592625,MFLAFM_02865
1,592633,592705,MFLAFM_02870
1,593325,594026,MFLAFM_02875
1,594039,595865,MFLAFM_02880
1,595858,597192,MFLAFM_02885
1,597193,597981,MFLAFM_02890
1,598370,599170,MFLAFM_02895
1,599397,601715,MFLAFM_02900
1,602083,602562,MFLAFM_02905
1,603104,604849,MFLAFM_02910
1,605287,605501,MFLAFM_02915
1,605607,605675,MFLAFM_02920
1,605793,606548,MFLAFM_02925
1,606548,606808,MFLAFM_02930
1,606945,608009,MFLAFM_02935
1,608040,609374,MFLAFM_02940
1,609393,610586,MFLAFM_02945
1,611253,612239,MFLAFM_02950
1,612800,613096,MFLAFM_02955
1,613304,613906,MFLAFM_02960
1,614173,617325,MFLAFM_02965
1,617382,617864,MFLAFM_02970
1,618070,619056,MFLAFM_02975
1,619277,620047,MFLAFM_02980
1,620066,620869,MFLAFM_02985
1,620937,621704,MFLAFM_02990
1,621772,622539,MFLAFM_02995
1,622606,623373,MFLAFM_03000
1,623470,625707,MFLAFM_03005
1,625858,627036,MFLAFM_03010
1,627038,628426,MFLAFM_03015
1,628910,630577,MFLAFM_03020
1,630896,632671,MFLAFM_03025
1,632845,633717,MFLAFM_03030
1,633899,635227,MFLAFM_03035
1,635417,635890,MFLAFM_03040
1,636152,637744,MFLAFM_03045
1,638073,639425,MFLAFM_03050
1,639846,640598,MFLAFM_03055
1,640967,641965,MFLAFM_03060
1,641962,642957,MFLAFM_03065
1,642973,643965,MFLAFM_03070
1,644196,645176,MFLAFM_03075
1,645173,646183,MFLAFM_03080
1,646204,647958,MFLAFM_03085
1,648035,649207,MFLAFM_03090
1,649197,650933,MFLAFM_03095
1,650914,652692,MFLAFM_03100
1,652664,653443,MFLAFM_03105
1,653443,654645,MFLAFM_03110
1,654649,655413,MFLAFM_03115
1,655609,656235,MFLAFM_03120
1,656447,657223,MFLAFM_03125
1,657568,658539,MFLAFM_03130
1,658502,659194,MFLAFM_03135
1,659404,660570,MFLAFM_03140
1,660551,661789,MFLAFM_03145
1,661779,663209,MFLAFM_03150
1,663477,664076,MFLAFM_03155
1,664443,665168,MFLAFM_03160
1,665359,666099,MFLAFM_03165
1,666350,667057,MFLAFM_03170
1,667058,668416,MFLAFM_03175
1,668497,669159,MFLAFM_03180
1,669187,670365,MFLAFM_03185
1,670494,671309,MFLAFM_03190
1,671306,672106,MFLAFM_03195
1,672108,672881,MFLAFM_03200
1,673076,674032,MFLAFM_03205
1,674261,675805,MFLAFM_03210
1,675856,677391,MFLAFM_03215
1,677539,678315,MFLAFM_03220
1,678321,679496,MFLAFM_03225
1,679881,682490,MFLAFM_03230
1,682833,683501,MFLAFM_03235
1,683517,684203,MFLAFM_03240
1,684206,684970,MFLAFM_03245
1,684990,686813,MFLAFM_03250
1,686803,687831,MFLAFM_03255
1,687844,688953,MFLAFM_03260
1,688957,690081,MFLAFM_03265
1,690084,690710,MFLAFM_03270
1,690715,691824,MFLAFM_03275
1,691838,693004,MFLAFM_03280
1,692997,694202,MFLAFM_03285
1,694203,695408,MFLAFM_03290
1,695419,695976,MFLAFM_03295
1,695976,696863,MFLAFM_03300
1,696917,698179,MFLAFM_03305
1,698256,699401,MFLAFM_03310
1,699466,699792,MFLAFM_03315
1,699799,700182,MFLAFM_03320
1,700609,702096,MFLAFM_03325
1,702743,703702,MFLAFM_03330
1,703727,704054,MFLAFM_03335
1,704055,704258,MFLAFM_03340
1,704437,704949,MFLAFM_03345
1,705291,706031,MFLAFM_03350
1,706045,707016,MFLAFM_03355
1,707013,707774,MFLAFM_03360
1,707784,708818,MFLAFM_03365
1,709035,709394,MFLAFM_03370
1,709418,710593,MFLAFM_03375
1,710979,711980,MFLAFM_03380
1,711958,712230,MFLAFM_03385
1,712677,719852,MFLAFM_03390
1,719865,720509,MFLAFM_03395
1,720837,721331,MFLAFM_03400
1,721587,722351,MFLAFM_03405
1,722367,723608,MFLAFM_03410
1,723620,724654,MFLAFM_03415
1,724212,724403,MFLAFM_03420
1,724690,725874,MFLAFM_03425
1,726133,727482,MFLAFM_03430
1,727761,728318,MFLAFM_03435
1,728385,730025,MFLAFM_03440
1,730298,732343,MFLAFM_03445
1,732928,733983,MFLAFM_03450
1,733983,734879,MFLAFM_03455
1,734891,736345,MFLAFM_03460
1,736345,737223,MFLAFM_03465
1,737417,737698,MFLAFM_03470
1,737911,740700,MFLAFM_03475
1,740847,741446,MFLAFM_03480
1,741572,742684,MFLAFM_03485
1,742681,743361,MFLAFM_03490
1,743358,744536,MFLAFM_03495
1,744743,744964,MFLAFM_03500
1,745002,746720,MFLAFM_03505
1,746779,747222,MFLAFM_03510
1,747234,747956,MFLAFM_03515
1,747943,748119,MFLAFM_03520
1,748122,748319,MFLAFM_03525
1,748829,750421,MFLAFM_03530
1,750423,751856,MFLAFM_03535
1,751862,753025,MFLAFM_03540
1,753042,754817,MFLAFM_03545
1,754855,756861,MFLAFM_03550
1,757174,757947,MFLAFM_03555
1,758136,758762,MFLAFM_03560
1,758971,759549,MFLAFM_03565
1,759933,761030,MFLAFM_03570
1,761043,762314,MFLAFM_03575
1,762317,763585,MFLAFM_03580
1,763587,764426,MFLAFM_03585
1,764500,765576,MFLAFM_03590
1,765601,766641,MFLAFM_03595
1,766696,767664,MFLAFM_03600
1,768025,768519,MFLAFM_03605
1,768752,770131,MFLAFM_03610
1,770490,771248,MFLAFM_03615
1,771241,772797,MFLAFM_03620
1,772794,773762,MFLAFM_03625
1,774350,776599,MFLAFM_03630
1,776622,777377,MFLAFM_03635
1,777699,779462,MFLAFM_03640
1,779626,779970,MFLAFM_03645
1,780160,781974,MFLAFM_03650
1,782561,783745,MFLAFM_03655
1,783775,786036,MFLAFM_03660
1,786222,787433,MFLAFM_03665
1,787545,789050,MFLAFM_03670
1,789076,790638,MFLAFM_03675
1,791007,792236,MFLAFM_03680
1,792550,794025,MFLAFM_03685
1,794223,794579,MFLAFM_03690
1,794736,794909,MFLAFM_03695
1,794935,796080,MFLAFM_03700
1,796653,797606,MFLAFM_03705
1,797926,799455,MFLAFM_03710
1,799817,800752,MFLAFM_03715
1,801090,803186,MFLAFM_03720
1,803171,803638,MFLAFM_03725
1,803661,803939,MFLAFM_03730
1,804166,805425,MFLAFM_03735
1,805443,806498,MFLAFM_03740
1,806500,806646,MFLAFM_03745
1,806670,807713,MFLAFM_03750
1,808241,808957,MFLAFM_03755
1,808950,809975,MFLAFM_03760
1,809997,811691,MFLAFM_03765
1,812119,813288,MFLAFM_03770
1,813564,814280,MFLAFM_03775
1,814273,815298,MFLAFM_03780
1,815320,817008,MFLAFM_03785
1,817041,818762,MFLAFM_03790
1,818906,819580,MFLAFM_03795
1,819825,821579,MFLAFM_03800
1,821582,822322,MFLAFM_03805
1,822441,822878,MFLAFM_03810
1,822871,823572,MFLAFM_03815
1,823680,824384,MFLAFM_03820
1,824533,825324,MFLAFM_03825
1,825340,826776,MFLAFM_03830
